ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
1,simple,1,"Амурский тигр Сер/ран червоні із смужк.. 1,2 м 120г.врож.соління..салат",1,1,visible,"Амурский тигр Сер/ран червоні із смужк.. 1,2 м 120г.врож.соління..салат",,,,,,1,,0,0,0.0440925,,,,1,,5.45,5.99,Помидоры > Томати низькорослі,,,https://image.shutterstock.com/image-vector/photo-coming-soon-image-eps10-600w-86220151.jpg,,,,,,,,,,Размер,"Маленький, Большой",1,1,,,,,,,,,
2,simple,2,"Апельсин Сер/стиг..круглий золотистий 1,5м..200-400г,кущ міцний,відм.смак",1,1,visible,"Апельсин Сер/стиг..круглий золотистий 1,5м..200-400г,кущ міцний,відм.смак",,,,,,1,,0,0,0.0440925,,,,1,,5.45,5.99,Помидоры > Томати низькорослі,,,https://image.shutterstock.com/image-vector/photo-coming-soon-image-eps10-600w-86220151.jpg,,,,,,,,,,Размер,"Маленький, Большой",1,1,,,,,,,,,
